"","X","Date","Open","High","Low","Close","Volume","day"
"291",291,"03/01/1994",467.1899,471.0898,436.1599,445.7698,0,1994-03-01
"292",292,"04/04/1994",445.6599,452.79,435.8599,450.9099,0,1994-04-04
"293",293,"05/02/1994",450.9099,457.7698,440.7798,456.5,84,1994-05-02
"294",294,"06/01/1994",456.5,463.23,439.8298,444.2698,113,1994-06-01
"295",295,"07/01/1994",444.27,459.3298,443.5798,458.2598,96,1994-07-01
"296",296,"08/01/1994",458.28,477.5898,456.0798,475.49,124,1994-08-01
"297",297,"09/01/1994",475.49,475.49,458.47,462.6899,118,1994-09-01
"298",298,"10/03/1994",462.6899,474.74,449.2698,472.3499,126,1994-10-03
"299",299,"11/01/1994",472.26,472.3501,444.1799,453.6899,122,1994-11-01
"300",300,"12/01/1994",453.55,462.73,442.8799,459.2698,116,1994-12-01
"301",301,"01/03/1995",459.21,471.3599,457.2,470.4199,126,1995-01-03
"302",302,"02/01/1995",470.4199,489.1899,469.2898,487.3899,120,1995-02-01
"303",303,"03/01/1995",487.3899,508.1499,479.7,500.71,149,1995-03-01
"304",304,"04/03/1995",500.7,515.2898,500.2,514.71,129,1995-04-03
"305",305,"05/01/1995",514.76,533.4099,513.0298,533.3999,154,1995-05-01
"306",306,"06/01/1995",533.3999,551.0698,526,544.75,150,1995-06-01
"307",307,"07/03/1995",544.75,565.3999,542.5098,562.0598,150,1995-07-03
"308",308,"08/01/1995",562.0601,565.6199,553.0398,561.8799,145,1995-08-01
"309",309,"09/01/1995",561.8799,587.6099,561.0098,584.4099,145,1995-09-01
"310",310,"10/02/1995",584.4099,590.6599,571.5498,581.5,168,1995-10-02
"311",311,"11/01/1995",581.5,608.6899,581.0398,605.3699,153,1995-11-01
"312",312,"12/01/1995",605.3701,622.8799,605.0498,615.9299,153,1995-12-01
"313",313,"01/02/1996",615.9299,636.1799,597.2898,636.0198,203,1996-01-02
"314",314,"02/01/1996",636.02,664.23,633.71,640.4299,183,1996-02-01
"315",315,"03/01/1996",640.4299,656.97,627.6299,645.5,188,1996-03-01
"316",316,"04/01/1996",645.5,656.6799,624.1399,654.1699,181,1996-04-01
"317",317,"05/01/1996",654.1699,681.0998,630.0698,669.1199,174,1996-05-01
"318",318,"06/03/1996",669.1199,680.3198,658.75,670.6299,152,1996-06-03
"319",319,"07/01/1996",670.6299,675.8799,605.8799,639.9499,183,1996-07-01
"320",320,"08/01/1996",639.9499,670.6799,639.49,651.99,148,1996-08-01
"321",321,"09/03/1996",651.99,690.8799,643.97,687.3098,164,1996-09-03
"322",322,"10/01/1996",687.3101,714.0998,684.4399,705.2698,199,1996-10-01
"323",323,"11/01/1996",705.27,762.1199,701.2998,757.0198,182,1996-11-01
"324",324,"12/02/1996",757.02,761.75,716.6899,740.74,185,1996-12-02
"325",325,"01/02/1997",740.74,794.6699,729.5498,786.1599,243,1997-01-02
"326",326,"02/03/1997",786.1599,817.6799,773.4299,790.8198,207,1997-02-03
"327",327,"03/03/1997",790.8201,814.8999,756.1299,757.1199,217,1997-03-03
"328",328,"04/01/1997",757.1201,804.1299,733.5398,801.3398,227,1997-04-01
